,HOUSTON POWER SAVERS,Unnamed: 1,INVOICE
0,TACLB020326E,,
1,,,
2,10222 INWOOD DR.,DATE:,2021-05-10 00:00:00
3,"HOUSTON,TEXAS 77042",INVOICE #,02210510
4,OFFICE # (832) 968-0000,FOR:,Service/maintenance
5,,,
6,,,
7,,,
8,,,
9,Gonzalez Family Medicine,,
10,11040 East Freeway,,
11,"Houston, TX 77029",,
12,7134538328,,
13,,,
14,,,
15,DESCRIPTION,,AMOUNT
16,Serviced air 14 conditioning systems–227.0 ea,,
17,*cleaned evaporator coils,,
18,*blew out/vacuumed drainlines and drainpan,,
19,*added clorox/pan tabs,,
20,*checked freon levels–good,,
21,*washed down condensers,,
22,*checked filters–good,,
23,subtotal,,454
24,,,
25,,,
26,,,
27,,,
28,,,
29,,,
30,,,
31,,,
32,,,
33,,,
34,Notes:,,
35,,,
36,,,
37,,TOTAL,454
38,,,
39,,,
40,Make all checks payable to Houston Power Savers,,
41,"If you have any questions concerning this invoice, contact: Kenneth Longoria, (713) 306-2694",,
