,Houston Power Savers,INVOICE,Unnamed: 2
0,TACLB020326E,,
1,,,
2,10222 Inwood Dr,DATE:,2021-10-28 00:00:00
3,"Houston,Texas 77042",INVOICE #,00211028
4,Office: (832) 968-0000,FOR:,New installation
5,www.HoustonPowerSavers.com,,
6,,,
7,,,
8,,,
9,Kingwood Senior Village,,
10,"435 Northpines Dr, 104",,
11,"Kingwood, TX , 77339",,
12,2815482500,,
13,assistantmanager@kingwoodseniorvillage.com,,
14,,,
15,DESCRIPTION,,AMOUNT
16,Install new condensing unit,,
17,M/N:   /  S/N:,,
18,*pull vacuum,,
19,*vacuum time; ~1 HR,,
20,*flush copper lines with R-11,,
21,*recharge with R-410A,,
22,Install new evaporator slab coil,,
23,M/N:   /  S/N:,,
24,*reseal openings with hardcast,,
25,subtotal,,4070.4
26,,,
27,,,
28,,,
29,,,
30,,,
31,,,
32,,TOTAL,4070.4
33,,,
34,,,
35,Make all checks payable to Houston Power Savers,,
36,"If you have any questions concerning this invoice,Kenneth Longoria 713-3062694",,
37,,,
38,,,
39,THANK YOU FOR YOUR BUSINESS! ,,
