,HOUSTON POWER SAVERS,Unnamed: 1,INVOICE
0,TACLB020326E,,
1,,,
2,10222 INWOOD DR.,DATE:,2021-01-26 00:00:00
3,"HOUSTON,TEXAS 77042",INVOICE #,01210126
4,OFFICE # (832) 968-0000,FOR:,New Installation
5,,,
6,,,
7,,,
8,,,
9,Kingwood Senior Village,,
10,"435 Northpines Dr, Unit 331",,
11,"Kingwood, TX, 77339",,
12,,,
13,,,
14,,,
15,DESCRIPTION,,AMOUNT
16,Replaced 1.5 ton condensing unit,,
17,M/N: GSX140181  /  S/N: 2012215229,,
18,*pulled vacuum/vacuum time,,
19,*flushed copper lines with R-11,,
20,*recharged with R-410A,,
21,*added UltraLite cement pad,,
22,,subtotal,2021.2500000000002
23,Replaced evaporator coil tubing in air handler,,
24,subtotal,,1653.75
25,,,
26,,,
27,,,
28,,,
29,,,
30,,,
31,Notes:,,
32,HPS provides a 2-year labor warranty,,
33,,,3675
34,,TOTAL,
35,,,
36,,,
37,Make all checks payable to Houston Power Savers,,
38,"If you have any questions concerning this invoice, contact: Kenneth Longoria, (713) 306-2694",,
