,HOUSTON POWER SAVERS,Unnamed: 1,INVOICE
0,TACLB020326E,,
1,,,
2,10222 INWOOD DR.,DATE:,2021-05-07 00:00:00
3,"HOUSTON,TEXAS 77042",INVOICE #,00210507
4,OFFICE # (832) 968-0000,FOR:,New Installation
5,,,
6,,,
7,,,
8,,,
9,Kingwood Senior Village,,
10,435 Northpines Dr (East Elevator Room),,
11,"Kingwood, TX, 77339",,
12,,,
13,,,
14,,,
15,DESCRIPTION,,AMOUNT
16,Installed new R-410A minisplit condenser,,
17,*resealed openings with hardcast,,
18,*rewired and reconfigured to system,,
19,subtotal,,1475
20,Replaced main cut-off breaker w/ 60 amp breaker at panel,,
21,*temporary,,
22,,subtotal,297
23,,,
24,,,
25,,,
26,,,
27,Notes:,,
28,The breaker replacement is temporary until part comes in,,
29,,,
30,,,
31,,,1772
32,,TOTAL,
33,,,
34,,,
35,Make all checks payable to Houston Power Savers,,
36,"If you have any questions concerning this invoice, contact: Kenneth Longoria, (713) 306-2694",,
