,HOUSTON POWER SAVERS,Unnamed: 1,INVOICE
0,TACLB020326E,,
1,,,
2,10222 INWOOD DR.,DATE:,2021-09-28 00:00:00
3,"HOUSTON,TEXAS 77042",INVOICE #,03210928
4,OFFICE # (832) 968-0000,FOR:,New installation
5,,,
6,,,
7,,,
8,,,
9,VCA Jones Rd Animal Hospital,,
10,9570 Jones Road,,
11,"Houston, TX , 77065",,
12,2818909525,,
13,tina.lalonde@vca.com,,
14,,,
15,DESCRIPTION,,AMOUNT
16,Install new 5 ton 3-phase condensing unit,,
17,M/N:   /  S/N:,,
18,*pull vacuum,,
19,*vacuum time; ~1 HR,,
20,*flush copper lines with R-11,,
21,*recharge with R-410A,,
22,,subtotal,3800
23,Install new 5 ton evaporator slab coil,,
24,M/N:   /  S/N:,,
25,*convert system to R-410A refrigerant,,
26,*reseal openings with hardcast,,
27,subtotal,,2875
28,Install new gas furnace,,
29,*reseal openings with hardcast,,
30,*rewire controls to furnace,,
31,subtotal,,3875
32,,,
33,,,
34,Notes: Email manufacturer warranty information to equipment owner.,,
35,HPS provides a two-year labor warranty,,
36,,TOTAL,10550
37,,,
38,,,
39,Make all checks payable to Houston Power Savers,,
40,"If you have any questions concerning this invoice, contact: Kenneth Longoria, (713) 306-2694",,
