,Houston Power Savers,INVOICE,Unnamed: 2
0,TACLB020326E,,
1,,,
2,10222 Inwood Dr,DATE:,2021-05-06 00:00:00
3,"Houston,Texas 77042",INVOICE #,00210506
4,Office: (832) 968-0000,FOR:,A/C not cooling
5,www.HoustonPowerSavers.com,,
6,,,
7,,,
8,,,
9,Almeda Park Apartments,,
10,10950 Tanner Park Ct,,
11,"Houston, TX 77075",,
12,7139441131,,
13,,,
14,,,
15,DESCRIPTION,,AMOUNT
16,Checked controls and wiring to condensing unit,,
17,*bad circuit board,,
18,*low voltage wire short–grounded wire,,
19,Replaced circuit board to heat pump condensing unit,,
20,Checked freon levels–good,,
21,Serviced condensing unit,,
22,parts subtotal,,0
23,labor subtotal,,497
24,,,
25,,,
26,,,
27,,,
28,,,
29,,,
30,,,
31,,,
32,,,
33,,TOTAL,497
34,,,
35,,,
36,Make all checks payable to Houston Power Savers,,
37,"If you have any questions concerning this invoice,Kenneth Longoria 713-3062694",,
38,,,
39,,,
40,THANK YOU FOR YOUR BUSINESS! ,,
