,Houston Power Savers,INVOICE,Unnamed: 2
0,TACLB020326E,,
1,,,
2,10222 Inwood Dr,DATE:,2021-03-17 00:00:00
3,"Houston,Texas 77042",INVOICE #,00210317
4,Office: (832) 968-0000,FOR:,Saturday visit
5,www.HoustonPowerSavers.com,,
6,,,
7,,,
8,,,
9,Amirex Realty Services,,
10,7880 San Felipe St Ste 120,,
11,"Houston, TX 77063",,
12,(713) 622-2647 (Laurie ext.112),,
13,,,
14,,,
15,DESCRIPTION,,AMOUNT
16,Came to check on AC units on saturday,,
17,*no issues found; would come back the next week,,
18,*Saturday service charge,,
19,subtotal,,197
20,,,
21,,,
22,,,
23,,,
24,,,
25,,,
26,,,
27,,,
28,,,
29,,,
30,,,
31,,,
32,,,
33,,TOTAL,197
34,,,
35,,,
36,Make all checks payable to Houston Power Savers,,
37,"If you have any questions concerning this invoice,Kenneth Longoria 713-3062694",,
38,,,
39,,,
40,THANK YOU FOR YOUR BUSINESS! ,,
