,Houston Power Savers,INVOICE,Unnamed: 2
0,TACLB020326E,,
1,,,
2,10222 Inwood Dr,DATE:,2020-07-02 00:00:00
3,"Houston,Texas 77042",INVOICE #,02200702
4,Office: (832) 968-0000,FOR:,Service/maintenance
5,www.HoustonPowerSavers.com,,
6,,,
7,,,
8,,,
9,,,
10,Cypresswood Estates,,
11,"15331 Kuykendahl Rd #903, #2204, #2210",,
12,"Houston, TX 77090",,
13,,,
14,,,
15,DESCRIPTION,,AMOUNT
16,#903,,
17,Added 6lbs. R-410A refrigerant–60.00 ea,,
18,Looked for leak/found leak in coil,,
19,subtotal,,360
20,#2204,,
21,Added 2 lbs. R-410A refrigerant–60.00 ea,,
22,subtotal,,120
23,#2210,,
24,Added 2 lbs. R-410A refrigerant–60.00 ea,,
25,subtotal,,120
26,,,
27,Total labor charge:,,297
28,,,
29,,,
30,Notes:,,
31,Sent estimate for replacing coil in #903–1875.00,,
32,,,
33,,TOTAL,897
34,,,
35,,,
36,Make all checks payable to Houston Power Savers,,
37,"If you have any questions concerning this invoice,Kenneth Longoria 713-3062694",,
38,,,
39,,,
40,THANK YOU FOR YOUR BUSINESS! ,,
