,Houston Power Savers,INVOICE,Unnamed: 2
0,TACLB020326E,,
1,,,
2,10222 Inwood Dr,DATE:,2021-04-13 00:00:00
3,"Houston,Texas 77042",INVOICE #,03210413
4,Office: (832) 968-0000,FOR:,New Installation
5,www.HoustonPowerSavers.com,,
6,,,
7,,,
8,,,
9,Family Place,,
10,7625 Hammerly Blvd,,
11,"Houston, TX 77055",,
12,,,
13,,,
14,,,
15,DESCRIPTION,,AMOUNT
16,Installed new air handler/evaporator coil,,
17,M/N:,,
18,*oversight and permits for worksite,,
19,subtotal,,1875
20,,,
21,,,
22,,,
23,,,
24,,,
25,,,
26,,,
27,,,
28,,,
29,,,
30,Notes:,,
31,Additional invoices attached in email,,
32,,,
33,,TOTAL,1875
34,,,
35,,,
36,Make all checks payable to Houston Power Savers,,
37,"If you have any questions concerning this invoice,Kenneth Longoria 713-3062694",,
38,,,
39,,,
40,THANK YOU FOR YOUR BUSINESS! ,,
