,HOUSTON POWER SAVERS,Unnamed: 1,INVOICE
0,TACLB020326E,,
1,,,
2,10222 INWOOD DR.,DATE:,2021-03-16 00:00:00
3,"HOUSTON,TEXAS 77042",INVOICE #,01210316
4,OFFICE # (832) 968-0000,FOR:,New Installation
5,,,
6,,,
7,,,
8,,,
9,Gonzalez Family Medicine,,
10,11040 East Freeway,,
11,"Houston, TX 77029",,
12,7134538328,,
13,,,
14,,,
15,DESCRIPTION,,AMOUNT
16,Replace 14 SEER high-efficiency 5 ton condensing unit,,
17,M/N: GSX160601  /  S/N: 2103147735,,
18,*pulled vacuum/vacuum time,,
19,*flushed copper lines with R-11 flush,,
20,*recharged with refrigerant,,
21,,subtotal,3151
22,Replace 5 ton air handler,,
23,M/N: ASPT59C14  /  S/N: 2103016851,,
24,,subtotal,2449
25,,,
26,Installation labor cost,,
27,subtotal,,875
28,,,
29,,,
30,,,
31,,,
32,,,
33,,,
34,Notes:,,
35,Sent all manufacturer warranty information. HPS provides a 2-year labor warranty,,
36,,,
37,,TOTAL,6475
38,,,
39,,,
40,Make all checks payable to Houston Power Savers,,
41,"If you have any questions concerning this invoice, contact: Kenneth Longoria, (713) 306-2694",,
