,Houston Power Savers,INVOICE,Unnamed: 2
0,TACLB020326E,,
1,,,
2,10222 Inwood Dr,DATE:,2021-04-13 00:00:00
3,"Houston,Texas 77042",INVOICE #,05210413
4,Office: (832) 968-0000,FOR:,Service/maintenace
5,www.HoustonPowerSavers.com,,
6,,,
7,,,
8,,,
9,Jane Cizik Garden Place,,
10,"1839 Jacqueline Dr, #106",,
11,"Houston, TX 77055",,
12,,,
13,,,
14,,,
15,DESCRIPTION,,AMOUNT
16,Installed new TXV valve in evaporator coil,,
17,*resealed openings,,
18,*resoldered lines with freon,,
19,*topped off with freon,,
20,subtotal,,1475
21,,,
22,,,
23,,,
24,,,
25,,,
26,,,
27,,,
28,,,
29,,,
30,,,
31,,,
32,,,
33,,TOTAL,1475
34,,,
35,,,
36,Make all checks payable to Houston Power Savers,,
37,"If you have any questions concerning this invoice,Kenneth Longoria 713-3062694",,
38,,,
39,,,
40,THANK YOU FOR YOUR BUSINESS! ,,
