,Houston Power Savers,INVOICE,Unnamed: 2
0,TACLB020326E,,
1,,,
2,10222 Inwood Dr,DATE:,2021-08-04 00:00:00
3,"Houston,Texas 77042",INVOICE #,01210804
4,Office: (832) 968-0000,FOR:,Service/maintenance
5,www.HoustonPowerSavers.com,,
6,,,
7,,,
8,,,
9,The Gotham Lofts,,
10,"1025 S. Shepherd, 4th Floor Hallway",,
11,"Houston, TX 77019",,
12,,,
13,,,
14,,,
15,DESCRIPTION,,AMOUNT
16,Unstopped drainline on 4th floor hallway,,
17,*used high pressure gas,,
18,*used shopvac to clear residue,,
19,*added clorox and pan tabs,,
20,subtotal,,297
21,,,
22,,,
23,,,
24,,,
25,,,
26,,,
27,,,
28,,,
29,,,
30,,,
31,,,
32,,,
33,,TOTAL,297
34,,,
35,,,
36,Make all checks payable to Houston Power Savers,,
37,"If you have any questions concerning this invoice,Kenneth Longoria 713-3062694",,
38,,,
39,,,
40,THANK YOU FOR YOUR BUSINESS! ,,
