,Houston Power Savers,INVOICE,Unnamed: 2
0,TACLB020326E,,
1,,,
2,10222 Inwood Dr,DATE:,2021-08-31 00:00:00
3,"Houston,Texas 77042",INVOICE #,03210831
4,Office: (832) 968-0000,FOR:,A/C not cooling
5,www.HoustonPowerSavers.com,,
6,,,
7,,,
8,,,
9,"Hettig Management, Suite 1",,
10,5325 Katy Freeway,,
11,"Houston, TX 77007",,
12,,,
13,,,
14,,,
15,DESCRIPTION,,AMOUNT
16,Service fee for coming day before,,
17,*found issue; did not have parts,,
18,,subtotal,127
19,Replaced liquid line drier,,
20,*cut out lost thumb refrigerant (R-22),,
21,*soldered new liquid line drier,,
22,*recharged system,,
23,,subtotal,697
24,,,
25,,,
26,,,
27,,,
28,Notes:,,
29,work done in the administrative office,,
30,,,
31,,,
32,,,
33,,TOTAL,824
34,,,
35,,,
36,Make all checks payable to Houston Power Savers,,
37,"If you have any questions concerning this invoice,Kenneth Longoria 713-3062694",,
38,,,
39,,,
40,THANK YOU FOR YOUR BUSINESS! ,,
