,HOUSTON POWER SAVERS,Unnamed: 1,INVOICE
0,TACLB020326E,,
1,,,
2,10222 INWOOD DR.,DATE:,2020-09-09 00:00:00
3,"HOUSTON,TEXAS 77042",INVOICE #,00200909
4,OFFICE # (832) 968-0000,FOR:,New Installation
5,,,
6,,,
7,,,
8,,,
9,Holy Rosary Convent,,
10,4610 LOCUST ST,,
11,"Bellaire, TX 77401",,
12,8323738093,,
13,,,
14,,,
15,DESCRIPTION,,AMOUNT
16,Replaced furnace,,
17,M/N: GMES800403AN  /  S/N: 2008176060,,
18,*new drainpan,,
19,subtotal,,500
20,,,
21,,,
22,,,
23,,,
24,,,
25,,,
26,,,
27,,,
28,,,
29,,,
30,,,
31,Notes:,,
32,Emailed all manufacturer warranty info to equipment owner,,
33,,,500
34,,TOTAL,
35,,,
36,,,
37,Make all checks payable to Houston Power Savers,,
38,"If you have any questions concerning this invoice, contact: Kenneth Longoria, (713) 306-2694",,
