,HOUSTON POWER SAVERS,Unnamed: 1,INVOICE
0,TACLB020326E,,
1,,,
2,10222 INWOOD DR.,DATE:,2021-03-09 00:00:00
3,"HOUSTON,TEXAS 77042",INVOICE #,01210309
4,OFFICE # (832) 968-0000,FOR:,Replaced fan motor
5,,,
6,,,
7,,,
8,,,
9,Kingwood Senior Village,,
10,"435 Northpines Dr, Unit 338",,
11,"Kingwood, TX, 77339",,
12,,,
13,,,
14,,,
15,DESCRIPTION,,AMOUNT
16,Replaced indoor blower motor,,
17,"*220V 4 wing bracket, 7.5 mfd capaciotor",,
18,Special order on motor in Houston,,
19,subtotal,,797
20,,,
21,,,
22,,,
23,,,
24,,,
25,,,
26,,,
27,,,
28,,,
29,,,
30,Notes:,,
31,,,
32,,,
33,,TOTAL,797
34,,,
35,,,
36,Make all checks payable to Houston Power Savers,,
37,"If you have any questions concerning this invoice, contact: Kenneth Longoria, (713) 306-2694",,
