,HOUSTON POWER SAVERS,Unnamed: 1,INVOICE
0,TACLB020326E,,
1,,,
2,10222 INWOOD DR.,DATE:,2020-07-30 00:00:00
3,"HOUSTON,TEXAS 77042",INVOICE #,01200730
4,OFFICE # (832) 968-0000,FOR:,New Installation
5,,,
6,,,
7,,,
8,,,
9,Orchard Park at Willowbrook,,
10,13350 Perry Rd,,
11,"Houston, TX 77070",,
12,(832) 237-7000,,
13,,,
14,,,
15,DESCRIPTION,,AMOUNT
16,"Installed new 12,000 BTU mini-split",,
17,*equipment purchased by property management,,
18,Used copper to solder lines,,
19,,subtotal,1875
20,,,
21,,,
22,,,
23,,,
24,,,
25,,,
26,,,
27,,,
28,,,
29,Notes:,,
30,Equipment warranty terms provided by manufacturer,,
31,HPS does not provide labor warranty under equipment purchased by customer,,
32,,,
33,,TOTAL,1875
34,,,
35,,,
36,Make all checks payable to Houston Power Savers,,
37,"If you have any questions concerning this invoice, contact: Kenneth Longoria, (713) 306-2694",,
