,Houston Power Savers,INVOICE,Unnamed: 2
0,TACLB020326E,,
1,,,
2,10222 Inwood Dr,DATE:,2021-08-13 00:00:00
3,"Houston,Texas 77042",INVOICE #,00210813
4,Office: (832) 968-0000,FOR:,Replace duct work
5,www.HoustonPowerSavers.com,,
6,,,
7,,,
8,,,
9,South Acres Ranch Apartments,,
10,11409 Scott Street,,
11,"Houston, TX 77047",,
12,,,
13,,,
14,,,
15,DESCRIPTION,,AMOUNT
16,Build and install new supply plenum in kitchen/living room,,
17,*1 sheet of ductboard,,
18,Added new flex duct,,
19,"*8"" and 12""",,
20,*collars and dampers,,
21,material,,625
22,labor,,850
23,,,
24,,,
25,,,
26,,,
27,,,
28,,,
29,,,
30,,,
31,,,
32,,,
33,,TOTAL,1475
34,,,
35,,,
36,Make all checks payable to Houston Power Savers,,
37,"If you have any questions concerning this invoice,Kenneth Longoria 713-3062694",,
38,,,
39,,,
40,THANK YOU FOR YOUR BUSINESS! ,,
