,Houston Power Savers,INVOICE,Unnamed: 2
0,TACLB020326E,,
1,,Code:,CODE
2,10222 Inwood Dr,DATE:,2022-02-03 00:00:00
3,"Houston,Texas 77042",INVOICE #,04220203
4,Office: (832) 968-0000,FOR:,Replace heat kit
5,www.HoustonPowerSavers.com,,
6,,,
7,,,
8,,,
9,Sterling Green Village,,
10,15255 Ferness,,
11,"Channelview,  TX 77530",,
12,0,,
13,SGV@Hettig-kahn.com,,
14,,,
15,DESCRIPTION,,AMOUNT
16,Installed new heat kit,,
17,*220 V 15 KW,,
18,,parts and labor,1475
19,,,
20,,,
21,,,
22,,,
23,,,
24,,,
25,,,
26,,,
27,,,
28,,,
29,,,
30,,,
31,,,
32,0,,
33,,,
34,,,
35,,TOTAL,1475
36,,,
37,,,
38,Make all checks payable to Houston Power Savers,,
39,"If you have any questions concerning this invoice,Kenneth Longoria 713-3062694",,
40,,,
41,,,
42,THANK YOU FOR YOUR BUSINESS! ,,
