,HOUSTON POWER SAVERS,Unnamed: 1,INVOICE
0,TACLB020326E,,
1,,,
2,10222 INWOOD DR.,DATE:,2020-09-04 00:00:00
3,"HOUSTON,TEXAS 77042",INVOICE #,01200904
4,OFFICE # (832) 968-0000,FOR:,New Installation
5,,,
6,,,
7,,,
8,,,
9,Sterling Green Village,,
10,15255 Ferness Ln,,
11,"Channelview, TX 77530",,
12,2816675899,,
13,,,
14,,,
15,DESCRIPTION,,AMOUNT
16,Installed new slab evaporator coil,,
17,*pulled vacuum/vacuum time,,
18,*regarged with R-410A–6 lbs.,,
19,*flushed copper lines,,
20,*new pan and float switch,,
21,*insultated copper freon lines,,
22,,subtotal,1146.25
23,Installed new furnace/air handler,,
24,*added sheet metal plenum,,
25,subtotal,,1473.75
26,Replaced duct and collars/dampers,,
27,*done according to code–straps every 4 ft.,,
28,"*8–8"" collars,2–6"" collars",,
29,,subtotal,655
30,,,
31,Notes:,,
32,Emailed all manufacturer warranty info to equipment owner,,
33,HPS provides a 2-year labor warranty,,3275
34,,TOTAL,
35,,,
36,,,
37,Make all checks payable to Houston Power Savers,,
38,"If you have any questions concerning this invoice, contact: Kenneth Longoria, (713) 306-2694",,
