,HOUSTON POWER SAVERS,Unnamed: 1,INVOICE
0,TACLB020326E,,
1,,,
2,10222 INWOOD DR.,DATE:,2020-09-11 00:00:00
3,"HOUSTON,TEXAS 77042",INVOICE #,01200911
4,OFFICE # (832) 968-0000,FOR:,New Installation
5,,,
6,,,
7,,,
8,,,
9,VCA Jones Road Animal Hospital,,
10,9570 Jones Rd,,
11,"Houston, TX 77065",,
12,2818909525,,
13,,,
14,,,
15,DESCRIPTION,,AMOUNT
16,Replaced 4 ton 3 phase condensing unit w/ high/low pressure,,
17,M/N: RA1348AC1NB  /  S/N: W511931602,,
18,*pulled vacuum/vacuum time,,
19,*Recharged system with R-410A,,
20,*repaired damaged freon lines,,
21,*repaired damaged electrical lines,,
22,,subtotal,3800
23,Replaced 4-5 ton slab evaporator coil,,
24,M/N: CSCF4860N6  /  S/N: 2009039176,,
25,*new drainpan and float switch,,
26,Made changes to ductwork to fit new system,,
27,subtotal,,2875
28,Flushed out system,,
29,*2 1lb. containers of R-11 flush,,
30,*1 full tank of nitrogen,,
31,subtotal,,300
32,Notes:,,
33,Emailed all manufacturer warranty info to equipment owner,,6975
34,HPS provides a 2-year labor warranty,,
35,,TOTAL,
36,,,
37,,,
38,Make all checks payable to Houston Power Savers,,
39,"If you have any questions concerning this invoice, contact: Kenneth Longoria, (713) 306-2694",,
